Date,Close,Open,High,Low,Order matchings,% Change
06-11-14,19434,19618,20351,19434,315.56K,-1.55%
07-11-14,19495,19557,20473,19312,402.16K,0.31%
10-11-14,19495,19495,19862,19312,220.69K,0.00%
11-11-14,19679,19557,20046,19373,609.56K,0.94%
12-11-14,20473,19679,20473,19679,429.33K,4.03%
13-11-14,20657,20473,21084,20473,229.56K,0.90%
14-11-14,20168,20351,20473,19740,389.41K,-2.37%
17-11-14,20412,20168,21696,20168,1.09M,1.21%
18-11-14,20168,20473,21023,20168,469.27K,-1.20%
19-11-14,21023,20473,21268,20168,606.18K,4.24%
20-11-14,21634,21329,21634,21023,399.00K,2.91%
21-11-14,21023,21757,21757,20779,230.06K,-2.82%
24-11-14,19984,20779,20779,19862,381.66K,-4.94%
25-11-14,20718,19862,20779,19557,389.59K,3.67%
26-11-14,20046,20657,21084,19862,507.28K,-3.24%
27-11-14,20473,20046,20779,19679,288.39K,2.13%
28-11-14,21207,20534,21696,20473,589.72K,3.59%
01-12-14,22001,21268,22490,21268,457.75K,3.74%
02-12-14,21879,22551,22612,21879,164.37K,-0.55%
03-12-14,22001,21879,22307,21696,299.23K,0.56%
04-12-14,21634,22001,22062,21512,315.43K,-1.67%
05-12-14,21451,21329,21634,20962,367.98K,-0.85%
08-12-14,20779,21084,21390,20779,258.19K,-3.13%
09-12-14,19007,20779,20779,18945,551.54K,-8.53%
10-12-14,20168,18945,20229,18945,110.53K,6.11%
11-12-14,21390,20107,22001,19557,237.31K,6.06%
12-12-14,21084,20901,21390,20473,127.54K,-1.43%
15-12-14,20718,21084,21268,20718,86.60K,-1.74%
16-12-14,20107,18701,20596,18701,351.06K,-2.95%
17-12-14,19251,20168,20351,18640,362.40K,-4.26%
18-12-14,20534,20168,20901,19984,210.37K,6.66%
19-12-14,20168,20534,20779,19618,144.92K,-1.78%
22-12-14,20412,20168,20901,20168,107.67K,1.21%
23-12-14,20412,20351,20473,19984,250.27K,0.00%
24-12-14,20779,20412,21146,20168,264.13K,1.80%
25-12-14,20657,20779,21084,20351,387.95K,-0.59%
26-12-14,20723,21852,21852,20590,97.64K,0.32%
29-12-14,20125,20856,20856,19395,117.77K,-2.89%
30-12-14,19926,19395,19926,18996,165.66K,-0.99%
31-12-14,19926,19926,20457,19727,57.28K,0.00%
05-01-15,20192,19926,20457,19926,88.59K,1.33%
06-01-15,20989,20059,21122,19926,127.31K,3.95%
07-01-15,21587,20856,21919,20856,294.07K,2.85%
08-01-15,21254,21786,21786,21188,193.46K,-1.54%
09-01-15,21188,21454,21587,21122,176.21K,-0.31%
12-01-15,21653,21587,21919,21254,406.81K,2.19%
13-01-15,21653,21254,21653,21254,172.86K,0.00%
14-01-15,21587,21653,21653,21254,85.48K,-0.30%
15-01-15,21387,21653,21719,21387,161.70K,-0.93%
16-01-15,21387,21653,21653,21188,107.16K,0.00%
19-01-15,20790,21387,21387,20790,147.20K,-2.79%
20-01-15,20590,20657,20922,20590,139.12K,-0.96%
21-01-15,20856,20524,20922,20524,49.38K,1.29%
22-01-15,20856,20856,20989,20856,145.48K,0.00%
23-01-15,20790,20856,21055,20790,108.01K,-0.32%
26-01-15,21454,20856,21786,20790,282.44K,3.19%
27-01-15,21653,21587,21985,21188,569.27K,0.93%
28-01-15,21122,21719,21919,20922,647.62K,-2.45%
29-01-15,20723,20790,20922,20723,319.89K,-1.89%
30-01-15,21122,20922,21454,20723,374.72K,1.93%
02-02-15,21055,21188,21254,21055,171.37K,-0.32%
03-02-15,20391,21055,21055,20391,211.54K,-3.15%
04-02-15,20524,20457,20524,20125,95.11K,0.65%
05-02-15,20258,20524,20524,20258,61.78K,-1.30%
06-02-15,20325,20391,20590,20325,33.36K,0.33%
09-02-15,20192,20325,20325,20125,97.06K,-0.65%
10-02-15,19793,20258,20258,19660,152.77K,-1.98%
11-02-15,20723,19926,20723,19860,79.45K,4.70%
12-02-15,20723,20723,20922,20590,67.62K,0.00%
13-02-15,20723,20457,20723,20391,51.06K,0.00%
24-02-15,20590,20723,20723,20590,119.83K,-0.64%
25-02-15,21122,20590,21919,20325,503.40K,2.58%
26-02-15,21254,21122,21254,21122,32.20K,0.62%
27-02-15,21122,21254,21254,21122,19.32K,-0.62%
02-03-15,20590,20856,21055,20590,15.83K,-2.52%
03-03-15,21454,20657,21454,20657,156.40K,4.20%
04-03-15,23446,21454,23446,21454,715.15K,9.28%
05-03-15,23048,23446,23446,21919,194.86K,-1.70%
06-03-15,22981,23048,23247,22981,167.35K,-0.29%
09-03-15,22251,22915,22915,22251,249.93K,-3.18%
10-03-15,22251,22251,22583,22184,119.01K,0.00%
11-03-15,22184,22251,22450,22051,220.00K,-0.30%
12-03-15,22450,22516,22915,22450,144.46K,1.20%
13-03-15,22450,22849,22849,22450,83.37K,0.00%
16-03-15,22251,22450,22583,22251,108.38K,-0.89%
17-03-15,22849,22384,23114,22384,103.28K,2.69%
18-03-15,22384,22583,22981,22384,257.49K,-2.04%
19-03-15,22251,22583,22915,22184,185.84K,-0.59%
20-03-15,22118,22184,22251,21919,70.28K,-0.60%
23-03-15,22118,22251,22384,22118,75.90K,0.00%
24-03-15,22184,22051,22184,21852,92.49K,0.30%
25-03-15,22251,22118,22251,22118,47.65K,0.30%
26-03-15,22450,22184,22516,22118,162.18K,0.89%
27-03-15,22317,22384,22450,22184,137.54K,-0.59%
30-03-15,22516,22317,24443,22317,263.70K,0.89%
31-03-15,22716,22384,22915,22384,119.14K,0.89%
01-04-15,22384,22716,22716,22317,101.78K,-1.46%
02-04-15,23114,22384,23114,22251,151.10K,3.26%
03-04-15,23181,23114,23380,22981,222.43K,0.29%
06-04-15,23114,23181,23247,22716,86.65K,-0.29%
07-04-15,23114,22716,23114,22716,51.64K,0.00%
08-04-15,22649,22915,22915,22583,104.54K,-2.01%
09-04-15,22716,22649,22981,22649,85.35K,0.30%
10-04-15,23048,22915,23181,22716,223.65K,1.46%
13-04-15,22782,23114,23247,22716,85.61K,-1.15%
14-04-15,22583,22782,22981,22583,64.08K,-0.87%
15-04-15,22649,22583,22849,22450,281.66K,0.29%
16-04-15,22583,22583,22716,22317,328.80K,-0.29%
17-04-15,22516,22782,22849,22516,115.03K,-0.30%
20-04-15,22317,22450,22583,22118,179.06K,-0.88%
21-04-15,22051,22251,22384,22051,121.56K,-1.19%
22-04-15,21454,22184,22184,21454,177.81K,-2.71%
23-04-15,21321,21454,21719,21321,89.47K,-0.62%
24-04-15,21919,21454,21919,21321,44.17K,2.80%
27-04-15,21919,21587,21919,21587,18.63K,0.00%
04-05-15,21520,21786,21919,21321,97.78K,-1.82%
05-05-15,21919,21387,21919,21254,47.73K,1.85%
06-05-15,21786,21653,21919,21454,32.21K,-0.61%
07-05-15,21786,21786,22051,21587,101.12K,0.00%
08-05-15,22251,22051,22317,21919,203.94K,2.13%
11-05-15,22184,22384,22516,21786,21.28K,-0.30%
12-05-15,21852,21786,21852,21786,14.49K,-1.50%
13-05-15,21786,22051,22051,21587,124.66K,-0.30%
14-05-15,21786,21786,22051,21587,20.93K,0.00%
15-05-15,21587,21587,21852,21520,59.57K,-0.91%
18-05-15,21055,21254,21587,21055,77.05K,-2.46%
19-05-15,21520,21254,21786,21254,171.13K,2.21%
20-05-15,21719,21520,21786,21387,60.03K,0.92%
21-05-15,21587,21852,21852,21520,14.12K,-0.61%
22-05-15,21587,21786,21786,21520,92.82K,0.00%
25-05-15,21719,21919,21919,21387,54.17K,0.61%
26-05-15,21653,21653,21719,21587,116.33K,-0.30%
27-05-15,21454,21587,21653,21454,45.14K,-0.92%
28-05-15,21387,21454,21454,21254,106.06K,-0.31%
29-05-15,21254,21387,21454,21254,88.23K,-0.62%
01-06-15,21321,21587,21587,21321,35.88K,0.32%
02-06-15,21254,21122,21520,21122,83.84K,-0.31%
03-06-15,21587,21254,22118,21188,190.33K,1.57%
04-06-15,21587,21587,21587,21587,12.68K,0.00%
05-06-15,21587,21254,21587,21254,160.43K,0.00%
08-06-15,21653,21587,21653,21387,81.31K,0.31%
09-06-15,21321,21587,21587,21321,39.45K,-1.53%
10-06-15,21454,21321,21587,21254,83.22K,0.62%
11-06-15,21387,21387,21454,21254,152.72K,-0.31%
